name,season,episode,line,cap,music
Winter Is Coming,1,1,1,"Easy, boy.",FALSE
Winter Is Coming,1,1,2,What do you expect? They're savages.,FALSE
Winter Is Coming,1,1,3,"One lot steals a goat from another lot,",FALSE
Winter Is Coming,1,1,4,before you know it they're ripping each other to pieces.,FALSE
Winter Is Coming,1,1,5,I've never seen wildlings do a thing like this.,FALSE
Winter Is Coming,1,1,6,"I never seen a thing like this, not ever in my life.",FALSE
Winter Is Coming,1,1,7,How close did you get?,FALSE
Winter Is Coming,1,1,8,Close as any man would. - We should head back to the Wall.,FALSE
Winter Is Coming,1,1,9,Do the dead frighten you?,FALSE
Winter Is Coming,1,1,10,Our orders were to track the wildlings.,FALSE
Winter Is Coming,1,1,11,We tracked them. They won't trouble us no more.,FALSE
Winter Is Coming,1,1,12,You don't think he'll ask us how they died?,FALSE
Winter Is Coming,1,1,13,Get back on your horse.,FALSE
Winter Is Coming,1,1,14,Whatever did it to them could do it to us.,FALSE
Winter Is Coming,1,1,15,They even killed the children.,FALSE
Winter Is Coming,1,1,16,It's a good thing we're not children.,FALSE
Winter Is Coming,1,1,17,"You want to run away south, run away.",FALSE
Winter Is Coming,1,1,18,"Of course, they will behead you as a deserter.",FALSE
Winter Is Coming,1,1,19,If I don't catch you first.,FALSE
Winter Is Coming,1,1,20,Get back on your horse.,FALSE
Winter Is Coming,1,1,21,I won't say it again.,FALSE
Winter Is Coming,1,1,22,Your dead men seem to have moved camp.,FALSE
Winter Is Coming,1,1,23,They were here.,FALSE
Winter Is Coming,1,1,24,See where they went.,FALSE
Winter Is Coming,1,1,25,What is it?,FALSE
Winter Is Coming,1,1,26,It's...,FALSE
Winter Is Coming,1,1,27,"Go on, Father's watching.",FALSE
Winter Is Coming,1,1,28,And your mother.,FALSE
Winter Is Coming,1,1,29,"Fine work, as always. Well done.",FALSE
Winter Is Coming,1,1,30,Thank you.,FALSE
Winter Is Coming,1,1,31,I love the detail that you've managed to get in these corners.,FALSE
Winter Is Coming,1,1,32,Quite beautiful.,FALSE
Winter Is Coming,1,1,33,The stitching...,FALSE
Winter Is Coming,1,1,34,"Oh, no, no, no. This stitch is very...",FALSE
Winter Is Coming,1,1,35,It's beautiful. - Thank you.,FALSE
Winter Is Coming,1,1,36,And which one of you was a marksman at ten?,FALSE
Winter Is Coming,1,1,37,"Keep practicing, Bran.",FALSE
Winter Is Coming,1,1,38,Go on.,FALSE
Winter Is Coming,1,1,39,"Don't think too much, Bran.",FALSE
Winter Is Coming,1,1,40,Relax your bow arm.,FALSE
Winter Is Coming,1,1,41,"Quick, Bran! - Faster.",FALSE
Winter Is Coming,1,1,42,Lord Stark!,FALSE
Winter Is Coming,1,1,43,My lady.,FALSE
Winter Is Coming,1,1,44,A guardsman just rode in from the hills.,FALSE
Winter Is Coming,1,1,45,They've captured a deserter from the Night's Watch.,FALSE
Winter Is Coming,1,1,46,Get the lads to saddle their horses.,FALSE
Winter Is Coming,1,1,47,Do you have to?,FALSE
Winter Is Coming,1,1,48,"He swore an oath, Cat.",FALSE
Winter Is Coming,1,1,49,"Law is law, my lady.",FALSE
Winter Is Coming,1,1,50,Tell Bran he's coming too.,FALSE
Winter Is Coming,1,1,51,Ned.,FALSE
Winter Is Coming,1,1,52,Ten is too young to see such things.,FALSE
Winter Is Coming,1,1,53,He won't be a boy forever.,FALSE
Winter Is Coming,1,1,54,And winter is coming.,FALSE
Winter Is Coming,1,1,55,"Good lad, go run back and get the rest.",FALSE
Winter Is Coming,1,1,56,White walkers.,FALSE
Winter Is Coming,1,1,57,I saw the white walkers.,FALSE
Winter Is Coming,1,1,58,White walkers.,FALSE
Winter Is Coming,1,1,59,"The white walkers, I saw them.",FALSE
Winter Is Coming,1,1,60,I know I broke my oath.,FALSE
Winter Is Coming,1,1,61,And I know I'm a deserter.,FALSE
Winter Is Coming,1,1,62,"I should have gone back to the Wall and warned them, but...",FALSE
Winter Is Coming,1,1,63,I saw what I saw.,FALSE
Winter Is Coming,1,1,64,I saw the white walkers.,FALSE
Winter Is Coming,1,1,65,People need to know.,FALSE
Winter Is Coming,1,1,66,If you can get word to my family...,FALSE
Winter Is Coming,1,1,67,tell them I'm no coward.,FALSE
Winter Is Coming,1,1,68,Tell them I'm sorry.,FALSE
Winter Is Coming,1,1,69,"Forgive me, Lord.",FALSE
Winter Is Coming,1,1,70,"In the name of Robert of the House Baratheon,",FALSE
Winter Is Coming,1,1,71,the first of his name... - Don't look away.,FALSE
Winter Is Coming,1,1,72,...King of the Andals and the First Men... - Father will know if you do.,FALSE
Winter Is Coming,1,1,73,"...Lord of the Seven Kingdoms and protector of the realm,",FALSE
Winter Is Coming,1,1,74,"I, Eddard of the House Stark,",FALSE
Winter Is Coming,1,1,75,"Lord of Winterfell and Warden of the North,",FALSE
Winter Is Coming,1,1,76,sentence you to die.,FALSE
Winter Is Coming,1,1,77,You did well.,FALSE
Winter Is Coming,1,1,78,You understand why I did it?,FALSE
Winter Is Coming,1,1,79,Jon said he was a deserter.,FALSE
Winter Is Coming,1,1,80,But do you understand why I had to kill him?,FALSE
Winter Is Coming,1,1,81,'Our way is the old way'?,FALSE
Winter Is Coming,1,1,82,The man who passes the sentence should swing the sword.,FALSE
Winter Is Coming,1,1,83,Is it true he saw the white walkers?,FALSE
Winter Is Coming,1,1,84,The white walkers have been gone for thousands of years.,FALSE
Winter Is Coming,1,1,85,So he was lying?,FALSE
Winter Is Coming,1,1,86,A madman sees what he sees.,FALSE
Winter Is Coming,1,1,87,What is it?,FALSE
Winter Is Coming,1,1,88,Mountain lion?,FALSE
Winter Is Coming,1,1,89,There are no mountain lions in these woods.,FALSE
Winter Is Coming,1,1,90,It's a freak.,FALSE
Winter Is Coming,1,1,91,It's a direwolf.,FALSE
Winter Is Coming,1,1,92,Tough old beast.,FALSE
Winter Is Coming,1,1,93,There are no direwolves south of the Wall.,FALSE
Winter Is Coming,1,1,94,Now there are five.,FALSE
Winter Is Coming,1,1,95,You want to hold it?,FALSE
Winter Is Coming,1,1,96,Where will they go?,FALSE
Winter Is Coming,1,1,97,Their mother's dead.,FALSE
Winter Is Coming,1,1,98,They don't belong down here.,FALSE
Winter Is Coming,1,1,99,Better a quick death. They won't last without their mother.,FALSE
Winter Is Coming,1,1,100,Right. Give it here. - No!,FALSE
Winter Is Coming,1,1,101,Put away your blade.,FALSE
Winter Is Coming,1,1,102,"I take orders from your father, not you. - Please, Father!",FALSE
Winter Is Coming,1,1,103,"I'm sorry, Bran.",FALSE
Winter Is Coming,1,1,104,Lord Stark?,FALSE
Winter Is Coming,1,1,105,There are five pups.,FALSE
Winter Is Coming,1,1,106,One for each of the Stark children.,FALSE
Winter Is Coming,1,1,107,The direwolf is the sigil of your house.,FALSE
Winter Is Coming,1,1,108,They were meant to have them.,FALSE
Winter Is Coming,1,1,109,You will train them yourselves.,FALSE
Winter Is Coming,1,1,110,You will feed them yourselves.,FALSE
Winter Is Coming,1,1,111,"And if they die, you will bury them yourselves.",FALSE
Winter Is Coming,1,1,112,What about you?,FALSE
Winter Is Coming,1,1,113,I'm not a Stark.,FALSE
Winter Is Coming,1,1,114,Get on.,FALSE
Winter Is Coming,1,1,115,What is it?,FALSE
Winter Is Coming,1,1,116,"The runt of the litter. That one's yours, Snow.",FALSE
Winter Is Coming,1,1,117,"As your brother, I feel it's my duty to warn you...",FALSE
Winter Is Coming,1,1,118,you worry too much.,FALSE
Winter Is Coming,1,1,119,It's starting to show. - And you never worry about anything.,FALSE
Winter Is Coming,1,1,120,"When we were seven and you jumped off the cliffs at Casterly Rock,",FALSE
Winter Is Coming,1,1,121,100-foot drop into the water... you were never afraid.,FALSE
Winter Is Coming,1,1,122,There was nothing to be afraid of until you told Father.,FALSE
Winter Is Coming,1,1,123,'We're Lannisters. Lannisters don't act like fools.',FALSE
Winter Is Coming,1,1,124,What if Jon Arryn told someone? - But who would he tell?,FALSE
Winter Is Coming,1,1,125,My husband.,FALSE
Winter Is Coming,1,1,126,"If he told the king, both our heads would be skewered on the city gates by now.",FALSE
Winter Is Coming,1,1,127,"Whatever Jon Arryn knew or didn't know, it died with him.",FALSE
Winter Is Coming,1,1,128,"And Robert will choose a new Hand of the King,",FALSE
Winter Is Coming,1,1,129,someone to do his job while he's off fucking boars and hunting whores.,FALSE
Winter Is Coming,1,1,130,Or is it the other way around?,FALSE
Winter Is Coming,1,1,131,And life will go on.,FALSE
Winter Is Coming,1,1,132,You should be the Hand of the King.,FALSE
Winter Is Coming,1,1,133,That's an honour I can do without.,FALSE
